S1,S2,S3,D
85,93,103,4
155,160,115,3
162,160,115,3
147,104,73,6
33,32,24,7
169,150,128,2
194,202,137,3
70,73,47,8
136,169,126,0
113,152,90,5
40,38,29,7
188,201,144,3
120,126,85,8
187,201,138,3
136,175,120,0
110,159,99,5
85,93,103,4
92,153,105,0
112,150,88,5
168,150,128,2
121,126,85,8
71,73,54,8
168,134,97,6
40,38,29,7
157,163,117,3
73,71,53,7
95,103,108,4
136,175,126,0
149,128,109,2
174,119,97,6
147,104,72,6
95,103,108,4
116,159,100,5
141,114,96,2
111,160,100,5
145,131,88,1
67,71,53,7
116,158,99,5
33,32,24,7
116,159,100,5
92,101,109,4
193,201,139,3
113,146,89,5
75,136,80,5
97,105,109,4
136,175,120,0
145,103,71,6
84,87,64,8
108,155,117,0
91,99,108,4
40,39,29,7
194,196,138,3
91,100,108,4
150,128,109,2
66,71,53,7
95,103,107,4
162,154,115,3
84,87,64,8
187,193,144,3
85,87,102,4
70,73,54,8
116,152,99,5
107,150,88,5
148,121,77,1
114,126,91,8
40,33,29,7
33,24,24,7
32,31,24,7
74,124,80,5
117,126,92,8
194,202,143,3
134,115,93,2
146,104,72,6
84,88,64,8
32,31,24,7
168,150,128,2
162,160,115,3
74,136,79,5
114,126,91,8
136,175,126,0
75,137,80,5
97,97,109,4
164,164,118,3
91,153,111,0
136,175,126,0
193,196,143,3
85,93,103,4
74,135,80,5
145,131,88,1
108,162,114,0
83,84,64,8
107,162,111,0
157,163,117,3
108,162,117,0
176,136,92,6
152,126,97,6
84,92,102,4
108,162,118,0
147,104,73,6
159,138,85,1
168,150,128,2
85,88,64,8
152,125,97,6
71,67,54,8
158,138,85,1
153,128,76,1
70,67,54,8
98,106,104,4
34,32,24,7
92,101,109,4
145,120,88,1
146,132,89,1
168,150,128,2
74,136,80,5
75,137,80,5
147,104,73,6
106,151,88,5
121,126,91,8
40,39,29,7
92,154,111,0
41,39,29,7
141,115,96,2
159,126,98,6
85,93,102,4
70,73,54,8
39,39,29,7
164,164,118,3
73,72,53,7
33,31,23,7
107,162,117,0
147,129,77,1
92,100,109,4
121,126,92,8
147,129,77,1
121,126,91,8
108,161,111,0
151,137,85,1
92,94,109,4
175,135,97,6
174,134,96,6
92,147,111,0
140,114,102,2
39,38,28,7
146,131,88,1
169,144,128,2
174,134,91,6
146,104,72,6
75,137,80,5
154,130,78,1
75,137,81,5
159,125,91,6
71,74,54,8
140,115,102,2
86,94,104,4
108,154,117,0
153,129,68,1
140,114,101,2
161,159,114,3
85,88,64,8
141,104,73,6
83,87,63,8
85,153,111,0
161,160,114,3
140,108,101,2
90,152,104,0
65,74,54,8
91,153,102,0
108,162,117,0
137,175,126,0
146,131,88,1
121,126,92,8
108,162,117,0
134,115,101,2
169,135,97,6
40,39,20,7
168,150,128,2
137,174,126,0
121,126,91,8
117,160,100,5
143,128,109,2
194,200,143,3
97,106,110,4
169,150,128,2
141,115,102,2
107,162,117,0
107,162,117,0
194,202,138,3
149,128,109,2
168,150,122,2
157,163,118,3
164,157,117,3
33,32,24,7
86,88,104,4
141,109,102,2
97,105,103,4
164,164,118,3
158,125,97,6
136,174,126,0
147,129,77,1
116,159,93,5
85,93,103,4
85,93,103,4
107,162,118,0
162,160,115,3
83,87,63,8
152,138,85,1
157,163,117,3
91,154,112,0
151,125,97,6
149,128,102,2
148,130,77,1
154,129,77,1
32,28,24,7
158,125,97,6
121,125,85,8
111,150,88,5
85,154,111,0
83,86,63,8
107,161,117,0
136,174,120,0
193,196,143,3
158,125,91,6
95,103,108,4
40,39,29,7
158,125,97,6
187,201,144,3
91,153,111,0
157,163,117,3
117,160,93,5
158,138,85,1
157,137,85,1
158,138,79,1
168,150,128,2
140,115,101,2
147,104,73,6
154,129,77,1
40,39,29,7
85,88,65,8
136,174,126,0
145,103,72,6
149,128,103,2
108,156,117,0
112,144,89,5
151,138,85,1
107,152,90,5
33,32,24,7
142,127,108,2
116,160,100,5
153,129,77,1
194,202,144,3
120,125,91,8
163,163,111,3
74,137,80,5
96,104,108,4
33,32,24,7
121,126,91,8
121,126,92,8
89,103,108,4
40,39,29,7
113,152,89,5
32,31,24,7
176,136,98,6
84,81,64,8
158,137,85,1
105,150,88,5
73,71,53,7
194,201,138,3
136,168,126,0
152,124,97,6
91,153,111,0
39,32,29,7
134,114,101,2
